dms_orig,origin,dms_dest,destination,distance_mi,travel_time_hr
11,Birmingham+AL,11,Birmingham+AL,46.7,0.7
11,Birmingham+AL,12,Mobile+AL,258.7,3.6
11,Birmingham+AL,19,Montgomery+AL,93.4,1.4
11,Birmingham+AL,20,Anchorage+AK,4236.4,69.1
11,Birmingham+AL,41,Phoenix+AZ,1702.1,24.2
11,Birmingham+AL,42,Tucson+AZ,1588.2,22.7
11,Birmingham+AL,49,Flagstaff+AZ,1565.6,22.6
11,Birmingham+AL,50,Little+Rock+AR,374,5.5
11,Birmingham+AL,61,Compton+CA,2038.9,29.6
11,Birmingham+AL,62,Sacramento+CA,2322.9,33.8
11,Birmingham+AL,63,San+Diego+CA,1997.1,28.5
11,Birmingham+AL,64,Milbrae+CA,2320.6,33.8
11,Birmingham+AL,65,Fresno+CA,2155.3,31.2
11,Birmingham+AL,69,Bakersfield+CA,2044.9,30
11,Birmingham+AL,81,Denver+CO,1286.2,19.1
11,Birmingham+AL,89,Colorado+Springs+CO,1268.2,19.1
11,Birmingham+AL,91,Hartford+CT,1076.5,16.1
11,Birmingham+AL,92,Stamford+CT,1008.5,14.9
11,Birmingham+AL,99,New+Haven+CT,1049.3,15.6
11,Birmingham+AL,101,Wilmington+DE,850.7,12.5
11,Birmingham+AL,109,Dover+DE,841.3,12.6
11,Birmingham+AL,111,Washington+DC,742,11
11,Birmingham+AL,121,Jacksonville+FL,491,6.9
11,Birmingham+AL,122,North+Miami+FL,799.9,11.2
11,Birmingham+AL,123,Deltona+FL,603,8.5
11,Birmingham+AL,124,Tampa+FL,601.2,8.5
11,Birmingham+AL,129,Tallahassee+FL,302.7,5
11,Birmingham+AL,131,Atlanta+GA,146.8,2.2
11,Birmingham+AL,132,Savannah+GA,393.7,5.6
11,Birmingham+AL,139,Columbus+GA,142.2,2.8
11,Birmingham+AL,160,Boise+ID,2119.7,30.5
11,Birmingham+AL,171,Chicago+IL,661.6,9.7
11,Birmingham+AL,172,St.+Louis+MO,500.4,7.1
11,Birmingham+AL,179,Bloomington+IL,613.9,8.7
11,Birmingham+AL,181,Gary+IN,631,9.2
11,Birmingham+AL,182,Indianapolis+IN,480,7
11,Birmingham+AL,183,Fort+Wayne+IN,599.3,8.8
11,Birmingham+AL,189,Terre+Haute+IN,452,6.9
11,Birmingham+AL,190,Des+Moines+IA,847.3,12.5
11,Birmingham+AL,201,Kansas+City+KS,749.7,10.8
11,Birmingham+AL,202,Wichita+KS,814,12
11,Birmingham+AL,209,Salina+KS,901.9,13.1
11,Birmingham+AL,211,Covington+KY,462.2,6.7
11,Birmingham+AL,212,Louisville+KY,366.8,5.3
11,Birmingham+AL,219,Lexington+KY,405.7,5.9
11,Birmingham+AL,221,Baton+Rouge+LA,399,5.9
11,Birmingham+AL,222,Lake+Charles+LA,525.5,7.6
11,Birmingham+AL,223,New+Orleans+LA,345.4,5
11,Birmingham+AL,229,Shreveport+LA,452.7,6.6
11,Birmingham+AL,230,Portland+ME,1273.4,19
11,Birmingham+AL,241,Baltimore+MD,779.7,11.7
11,Birmingham+AL,242,Hyattsville+MD,755,11.2
11,Birmingham+AL,249,La+Plata+MD,730,11.3
11,Birmingham+AL,251,Boston+MA,1175,17.6
11,Birmingham+AL,259,Worcester+MA,1136,17
11,Birmingham+AL,261,Detroit+MI,725.4,10.6
11,Birmingham+AL,262,Grand+Rapids+MI,739.3,10.9
11,Birmingham+AL,269,Lansing+MI,728.8,10.5
11,Birmingham+AL,271,Minneapolis+MN,1075,15.2
11,Birmingham+AL,279,Saint+Paul+MN,1072.4,15.3
11,Birmingham+AL,280,Jackson+MS,237.9,3.5
11,Birmingham+AL,291,Kansas+City+MO,746.2,10.7
11,Birmingham+AL,299,Springfield+MO,522.1,8.3
11,Birmingham+AL,300,Billings+MT,1763.4,25.5
11,Birmingham+AL,311,Omaha+NE,934.7,13.5
11,Birmingham+AL,319,Lincoln+NE,940.2,13.8
11,Birmingham+AL,321,Las+Vegas+NV,1814.9,26.2
11,Birmingham+AL,329,Reno+NV,2262.3,33.1
11,Birmingham+AL,331,Manchester+NH,1210.1,18.1
11,Birmingham+AL,339,Concord+NH,1224.7,18.3
11,Birmingham+AL,341,Newark+NJ,951,14.1
11,Birmingham+AL,342,Trenton+NJ,911,13.5
11,Birmingham+AL,350,Albuquerque+NM,1242.1,18.3
11,Birmingham+AL,361,Albany+NY,1084.8,16.2
11,Birmingham+AL,362,Buffalo+NY,895.7,13.1
11,Birmingham+AL,363,Brooklyn+NY,971.1,14.6
11,Birmingham+AL,364,Rochester+NY,964.7,14
11,Birmingham+AL,369,Syracuse+NY,1041.1,15.2
11,Birmingham+AL,371,Charlotte+NC,391.1,5.8
11,Birmingham+AL,372,Kernersville+NC,472.3,7
11,Birmingham+AL,373,Cary+NC,546,8
11,Birmingham+AL,379,Asheville+NC,354.5,5.6
11,Birmingham+AL,380,Fargo+ND,1292.2,18.8
11,Birmingham+AL,391,Cincinnati+OH,463.8,6.7
11,Birmingham+AL,392,Cleveland+OH,713,10.4
11,Birmingham+AL,393,Columbus+OH,570.1,8.3
11,Birmingham+AL,394,Dayton+OH,516.9,7.5
11,Birmingham+AL,399,Toledo+OH,666.4,9.6
11,Birmingham+AL,401,Oklahoma+City+OK,703,10.2
11,Birmingham+AL,402,Tulsa+OK,638.8,9.4
11,Birmingham+AL,409,Lawton+OK,783.4,11.4
11,Birmingham+AL,411,Tigard+OR,2548.8,37
11,Birmingham+AL,419,Eugene+OR,2556.8,38
11,Birmingham+AL,421,Philadelphia+PA,881.2,13
11,Birmingham+AL,422,Pittsburgh+PA,751.7,11
11,Birmingham+AL,423,Levittown+PA,902.7,13.4
11,Birmingham+AL,429,Harrisburg+PA,796.2,11.7
11,Birmingham+AL,441,Providence+RI,1149.7,17
11,Birmingham+AL,451,Charleston+SC,451.1,6.8
11,Birmingham+AL,452,Greenville+SC,291.7,4.3
11,Birmingham+AL,459,Columbia+SC,359.9,5.2
11,Birmingham+AL,460,Sioux+Falls+SD,1108.6,15.9
11,Birmingham+AL,471,Memphis+TN,239.1,3.6
11,Birmingham+AL,472,Nashville+TN,192.5,2.8
11,Birmingham+AL,473,Knoxville+TN,256.3,3.7
11,Birmingham+AL,479,Chattanooga+TN,146.9,2.1
11,Birmingham+AL,481,Austin+TX,823.3,12.1
11,Birmingham+AL,482,Beaumont+TX,584.5,8.4
11,Birmingham+AL,483,Corpus+Christi+TX,874.4,12.7
11,Birmingham+AL,484,Arlington+TX,658.3,9.8
11,Birmingham+AL,485,El+Paso+TX,1272.8,18.1
11,Birmingham+AL,486,Houston+TX,667.5,9.6
11,Birmingham+AL,487,Laredo+TX,978.2,14.4
11,Birmingham+AL,488,Selma+TX,852.8,12.4
11,Birmingham+AL,489,Amarillo+TX,960.8,14.2
11,Birmingham+AL,491,Lehi+UT,1779.7,26.5
11,Birmingham+AL,499,Ogden+UT,1813,26.3
11,Birmingham+AL,500,Burlington+VT,1233,18.8
11,Birmingham+AL,511,Richmond+VA,676.7,9.9
11,Birmingham+AL,512,Norfolk+VA,740.8,10.7
11,Birmingham+AL,513,Crystal+City+VA,742.5,10.9
11,Birmingham+AL,519,Charlottesville+VA,622.4,9.1
11,Birmingham+AL,531,Tukwila+WA,2585.1,37.5
11,Birmingham+AL,532,Vancouver+WA,2544.3,36.9
11,Birmingham+AL,539,Spokane+WA,2304.2,33.4
11,Birmingham+AL,540,Charleston+WV,565,8.3
11,Birmingham+AL,551,Greenfield+WI,756.7,11
11,Birmingham+AL,559,Madison+WI,814.9,11.8
11,Birmingham+AL,560,Wheatland+WY,1437.8,21
12,Mobile+AL,11,Birmingham+AL,258.7,3.6
12,Mobile+AL,12,Mobile+AL,72.7,1.1
12,Mobile+AL,19,Montgomery+AL,168.4,2.4
12,Mobile+AL,20,Anchorage+AK,4350.6,71.8
12,Mobile+AL,41,Phoenix+AZ,1640.1,23.6
12,Mobile+AL,42,Tucson+AZ,1526.2,22
12,Mobile+AL,49,Flagstaff+AZ,1558.6,22.9
12,Mobile+AL,50,Little+Rock+AR,448.3,7.4
12,Mobile+AL,61,Compton+CA,2018.5,28.3
12,Mobile+AL,62,Sacramento+CA,2312.4,34.5
12,Mobile+AL,63,San+Diego+CA,1934.3,28.1
12,Mobile+AL,64,Milbrae+CA,2313.5,34.4
12,Mobile+AL,65,Fresno+CA,2148.5,31.8
